id,instrumento_id,relacionado_id,tipo_relacao,descricao_relacao,similaridade_score,created_at
059e6746-3c6d-4e76-8790-07df1c786546,9b42a23b-ac7f-42e1-8a04-bde4c525fbde,794f42a6-619a-4ca3-8f1b-c3ac7a9e7a08,complementar,Oboé e flauta se complementam na orquestra cobrindo diferentes registros.,60,2025-06-20 13:37:17.090714
07bc5c91-3391-4f73-9f13-8f9d36a6a0ed,794f42a6-619a-4ca3-8f1b-c3ac7a9e7a08,26cadf44-6d7b-4f9b-85d6-6b2c40715f45,similar,Flauta e saxofone compartilham digitação semelhante em algumas passagens.,50,2025-06-15 19:45:28.153612
25284ad5-2a9b-4f89-919b-9be8c4a8fa5a,412c40b6-f4fc-4379-9d6f-5ce0ec2d669d,80436b4f-15c1-452f-9442-34e42b5117e4,familia,Violoncelo e violino pertencem à família das cordas friccionadas.,60,2025-06-15 19:37:29.869243
39e9b522-c7d5-457a-aa73-ddba49c24469,d7c80fe1-ab43-4920-b2aa-d9b4f3ace166,36b9d36d-f65b-4ba1-89be-4ab3707e874c,complementar,Clarinete e fagote são usados juntos na base harmônica de orquestras.,55,2025-06-15 19:32:05.298555
3e52585a-665f-4dc5-a767-80fdbf4af21d,850c53c4-2ed6-4a12-a4ff-3fbaecd6bf73,8fbba87d-39e1-4542-b8bb-7c815fdc2b9a,similar,Trombone e eufônio possuem registros semelhantes e técnicas próximas.,60,2025-06-21 02:36:48.627562
415f405b-1a98-4adf-946a-350db477d00b,df49fd27-9bcd-4462-a0f8-b36f0ff9f97f,750450cf-e14e-4f02-944e-b3c1bb0f87a4,similar,"Violão e guitarra elétrica compartilham afinação, acordes e muitas técnicas, diferindo principalmente na amplificação.",85,2025-06-09 04:26:07.641004
5016df77-192d-412d-931c-83a95309bc41,d7c80fe1-ab43-4920-b2aa-d9b4f3ace166,9b42a23b-ac7f-42e1-8a04-bde4c525fbde,familia,Ambos pertencem à família das madeiras; o oboé usa palheta dupla.,60,2025-06-15 19:32:05.298555
586d16f6-e926-4312-a04c-80c5788927fa,509d6a26-159a-4976-aa46-83f914f930aa,8fbba87d-39e1-4542-b8bb-7c815fdc2b9a,similar,Trompete e eufônio compartilham sonoridade brilhante em registros médios.,55,2025-06-16 04:01:57.127594
5959058f-ad2e-4c97-8221-6a4b0054ad00,df49fd27-9bcd-4462-a0f8-b36f0ff9f97f,35aff373-706c-47d8-8004-d8edcddb1e0c,familia,"Baixo e guitarra compartilham a mesma família de cordas amplificadas, com técnicas e teoria musical similares.",90,2025-06-09 04:26:07.641004
5a7679c3-5654-4f01-b529-046d1cd1a692,b73f1d80-3d73-487e-89b8-ab35274a8dd4,35aff373-706c-47d8-8004-d8edcddb1e0c,similar,Contrabaixo acústico e baixo elétrico compartilham função harmônica e rítmica.,75,2025-06-16 05:37:27.057226
5e9967c1-47a5-4f5f-ba47-4c0fdce1aa99,9b42a23b-ac7f-42e1-8a04-bde4c525fbde,26cadf44-6d7b-4f9b-85d6-6b2c40715f45,similar,Oboé e saxofone compartilham técnicas de sopro e articulação.,50,2025-06-20 13:37:17.090714
602af621-92ce-4f93-9d7d-7f3a702b4675,509d6a26-159a-4976-aa46-83f914f930aa,850c53c4-2ed6-4a12-a4ff-3fbaecd6bf73,familia,Trompete e trombone pertencem à família dos metais e compartilham técnicas de sopro.,65,2025-06-16 04:01:57.127594
6178c4ea-d2ad-4bb6-ac17-e8e99fb3cc42,36b9d36d-f65b-4ba1-89be-4ab3707e874c,9b42a23b-ac7f-42e1-8a04-bde4c525fbde,familia,Fagote e oboé pertencem à família das madeiras e utilizam palheta dupla.,70,2025-06-20 02:57:38.850552
