id,aula_id,criterio,created_at,updated_at
00af4be5-4d5c-4e0c-93b3-3759e120b4ad,b154f8a4-d7be-40b8-8bde-c64d409bde2b,"""Interação no desafio inaugural""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
026f3e81-2705-40af-bbb1-149146df1b8b,053b763b-5606-42bc-b02a-a94364239a74,"""Postura e disciplina coletiva""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
06a0ed8a-cd72-4ebb-9162-ffde29b8b303,053b763b-5606-42bc-b02a-a94364239a74,"""Cumprimento do desafio Alpha""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
074ed3ee-f3e6-4cb6-bb0f-ff71cab233a6,494c3d0d-692b-4509-b90b-b92bd1345eb1,"""Postura de palco durante a simulação""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
0a2a8739-7645-40e6-ba0b-511ada6dedd5,1f48497c-d8e0-4a9b-b9d1-75b3df353047,"""Criatividade e originalidade ao improvisar""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
0a732dba-75c4-486e-bc95-6c6861f17945,2a1cd10b-89d2-45f0-a051-93cdf98bc888,"""Cumprimento do desafio Alpha""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
0b87f5ce-9b53-4488-9676-434bf112e97a,1f48497c-d8e0-4a9b-b9d1-75b3df353047,"""Participação na improvisação coletiva""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
0bfda636-a2d9-4863-9017-2076564d789b,f4ef0c67-c714-4152-a0c3-644d09d94d9d,"""Colaboração em dupla""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
0c60a496-dbfb-4bc9-a229-b230c4257e76,eb103e6c-7aa9-43ab-8b2e-ac7dfcde918f,"""Cumprimento do desafio Alpha""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
0e233d69-49f7-4ebd-9fe2-c3d8fb404d28,c23b8c68-a284-4c6d-82c8-8f54d00b3e00,"""Participação ativa nas atividades de grupo""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
11d5dc6d-3d7c-4e1d-8f1a-939b3232d686,ec18f04f-e44f-4a0f-97d1-bb4eadb3931a,"""Cumprimento do desafio Alpha""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
1315d58a-9009-4d98-9fdd-bece0ab16b7d,1e357f0c-44ee-4f3b-a39a-851d4f5220b6,"""Engajamento na composição em grupo""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
1439c7b6-8c24-4bfe-85a5-5bbfc120bc85,2b58068f-1294-44e2-b9b9-365ef995372d,"""Criação/postagem do desafio Alpha""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
14d3c690-5569-4daa-8cda-f17ceaa1cde6,37b53845-821a-4d7e-9b13-2598e34a42ff,"""Postura correta e cuidado com o instrumento""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
18442582-5731-40a8-947e-83658cea2392,1f48497c-d8e0-4a9b-b9d1-75b3df353047,"""Cumprimento e postagem do desafio Alpha""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
19b68ad7-9a6e-4c41-90e4-59be87f7f62d,3d52bedb-3cb0-4ccc-86bf-6eddd4632364,"""Participação ativa na experimentação""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
221d9836-f1e5-493a-afdd-9a2a3b1c430c,eb103e6c-7aa9-43ab-8b2e-ac7dfcde918f,"""Segurança e postura de palco""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
2347117d-522a-4222-9585-fafd348a7ad7,0beed730-fa51-467d-9805-9415149ba916,"""Expressividade e integração musical""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
2393898e-bf09-4eaa-8f17-d70556c3ca6a,2b58068f-1294-44e2-b9b9-365ef995372d,"""Leitura correta das figuras/notação""",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
