id,nome,periodo_inicio,periodo_fim,descricao_curta,descricao_completa,contexto_historico,caracteristicas_principais,imagem_capa_url,cor_tematica,ordem_cronologica,ativo,created_at
058f61ff-806e-4179-8c5b-2cd597b36d76,Era do Rádio (Brasil),1930,1950,"Samba, marchinha de carnaval e ouro da música popular",A era de ouro da música brasileira. Samba se consolida como identidade nacional. Rádio Nacional difunde música por todo o país. Surgem grandes intérpretes e compositores. Carmen Miranda conquista Hollywood.,Era Vargas. Consolidação urbana. Rádio como mídia de massa. Exaltação do samba. Segunda Guerra Mundial.,"{""topicos"": [""Samba de morro"", ""Marchinha de carnaval"", ""Samba-canção"", ""Era de ouro""], ""compositores_destaque"": [""Noel Rosa"", ""Ary Barroso"", ""Dorival Caymmi"", ""Pixinguinha""], ""instrumentos_principais"": [""violão de 7 cordas"", ""cavaquinho"", ""pandeiro"", ""tamborim""]}",,#f1c40f,21,true,2025-12-14 20:49:33.510717+00
17bf83a0-e91e-4983-915f-51ace4da29ea,Era Meiji (Japão),1868,1912,Modernização e fusão com música ocidental,A Restauração Meiji traz profundas mudanças. Música ocidental é introduzida nas escolas. Primeiros compositores japoneses treinados em técnicas europeias. Início da música híbrida nipônica-ocidental.,Fim do shogunato. Restauração imperial. Modernização acelerada. Abertura ao Ocidente. Industrialização.,"{""topicos"": [""Introdução da música ocidental"", ""Educação musical moderna"", ""Primeiros compositores híbridos"", ""Bandas militares""], ""compositores_destaque"": [""Rentarō Taki"", ""Kōsaku Yamada""], ""instrumentos_principais"": [""piano"", ""violino"", ""flauta transversal"", ""koto modernizado""]}",,#f39c12,16,true,2025-12-14 20:49:33.510717+00
36750dc3-177d-4b56-b230-66df92911877,Brasil Colonial,1500,1822,"Encontro de culturas: indígena, africana e portuguesa",A música colonial brasileira resulta do encontro de três matrizes culturais. Música sacra europeia trazida pelos jesuítas. Ritmos e instrumentos africanos dos escravizados. Tradições musicais indígenas. Destaque para o barroco mineiro.,Colonização portuguesa. Escravidão africana. Catequização indígena. Ciclos do açúcar e ouro. Missões jesuítas.,"{""topicos"": [""Música sacra barroca"", ""Tradições indígenas"", ""Influências africanas"", ""Compositores mulatos mineiros""], ""compositores_destaque"": [""José Maurício Nunes Garcia"", ""Lobo de Mesquita""], ""instrumentos_principais"": [""viola"", ""berimbau"", ""atabaque"", ""maracá""]}",,#8b4513,19,true,2025-12-14 20:49:33.510717+00
36ea1a6e-5615-48dc-9c2f-c8cc87d2dfd4,Período Heian (Japão),794,1185,"Era dourada da cultura japonesa, origem do gagaku e música de corte","O Período Heian marca o apogeu da cultura aristocrática japonesa. A música gagaku (música da corte imperial) foi consolidada nesta época, combinando influências chinesas, coreanas e tradições nativas japonesas. Instrumentos como biwa, koto e shakuhachi começaram a ser refinados.",Transferência da capital para Heian-kyō (Kyoto). Era de paz e florescimento cultural. Isolamento gradual da China. Desenvolvimento da escrita kana.,"{""topicos"": [""Gagaku - música da corte imperial"", ""Instrumentos: biwa, koto, fue"", ""Influências chinesas e coreanas"", ""Música budista shomyo""], ""compositores_destaque"": [], ""instrumentos_principais"": [""biwa"", ""koto"", ""shakuhachi"", ""hichiriki""]}",,#9b59b6,13,true,2025-12-14 20:49:33.510717+00
3ff47d85-e4f2-4f79-9a04-1dcf021abfad,Período Kamakura (Japão),1185,1333,Surgimento do teatro Noh e música dos samurais,"Com o estabelecimento do shogunato em Kamakura, emerge uma cultura mais austera dos samurais. O teatro Noh começa a se desenvolver, combinando dança, drama e música. O shakuhachi torna-se instrumento dos monges zen.",Primeira era do shogunato. Ascensão da classe samurai. Difusão do budismo zen. Ameaça das invasões mongóis.,"{""topicos"": [""Teatro Noh nascente"", ""Shakuhachi zen"", ""Música militar taiko"", ""Cantos budistas""], ""compositores_destaque"": [""Kan'ami"", ""Zeami""], ""instrumentos_principais"": [""shakuhachi"", ""taiko"", ""fue"", ""tsuzumi""]}",,#3498db,14,true,2025-12-14 20:49:33.510717+00
40424e40-4c08-4885-a55f-a560c8dd90d7,Renascimento,1400,1600,"Florescimento da polifonia vocal, humanismo musical e surgimento da música instrumental autônoma","O Renascimento musical (c.1400-1600) representa a transição da música medieval para o período moderno. Caracteriza-se pelo desenvolvimento pleno da polifonia imitativa, com destaque para a missa e o moteto sacro, além do florescimento do madrigal secular italiano. O humanismo renascentista influenciou profundamente a música, com maior atenção ao texto e à expressão das palavras (madrigalismos, text painting). A imprensa musical, iniciada por Ottaviano Petrucci em Veneza (1501), revolucionou a disseminação de obras. Compositores como Josquin des Prez, Giovanni Pierluigi da Palestrina e Orlando di Lasso elevaram a polifonia vocal a níveis de sofisticação sem precedentes. A música instrumental começou a ganhar autonomia, deixando de ser apenas acompanhamento de danças. A Reforma Protestante (Lutero, 1517) e a Contrarreforma Católica (Concílio de Trento, 1545-1563) tiveram grande impacto na produção musical, com Palestrina respondendo às exigências de clareza textual. Escolas principais: Franco-flamenga (Josquin, Ockeghem), Italiana (Palestrina, Gabrieli), Espanhola (Victoria), Inglesa (Byrd, Tallis).","Formação de estados nacionais, descobrimentos marítimos portugueses e espanhóis, Reforma Protestante (1517), Contrarreforma Católica, guerras religiosas. Ascensão da burguesia mercantil, mecenato artístico das famílias Medici e Este, surgimento do humanismo, imprensa de Gutenberg (1450). Perspectiva linear na pintura, arquitetura clássica revivida (Brunelleschi, Palladio), mestres: Leonardo da Vinci, Michelangelo, Rafael. Heliocentrismo de Copérnico (1543), anatomia de Vesalius, início do método científico.","{""ritmo"": ""Mais livre e flexível que no Medieval, alinhamento texto-música (madrigalismos: figuralismos que pintam palavras)"", ""formas"": ""Missa cíclica (Kyrie-Gloria-Credo-Sanctus-Agnus Dei), Moteto, Madrigal, Chanson francesa, Vilancico espanhol, Ricercar instrumental, Canzona"", ""timbre"": ""Equilíbrio entre vozes, instrumentos de corda (família das violas da gamba, vihuela, alaúde) e sopro refinados (flauta doce, sacabuxa)"", ""melodia"": ""Linhas vocais fluidas e cantáveis, imitativas, maior âmbito melódico do que na Idade Média, uso de ornamentação moderada"", ""textura"": ""Polifonia imitativa plena (4-6 vozes iguais), desenvolvimento do contraponto florido, equilíbrio entre vozes (SATB)"", ""harmonia"": ""Consolidação gradual do sistema tonal (tríades maior/menor), preparação de dissonâncias, cadências autênticas e plagais"", ""inovacoes"": [""Notação mensural branca (século XV)"", ""Impressão musical (Petrucci, Veneza 1501)"", ""Desenvolvimento da tablatura para alaúde"", ""Afinação mesotônica""]}",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Francesco_Rosselli_-_Ptolemaic_Chart.jpg/800px-Francesco_Rosselli_-_Ptolemaic_Chart.jpg,#DAA520,2,true,2025-10-09 02:04:21.44846+00
480e5257-9aca-48e8-971f-f19794fc0dcf,MPB e Tropicália,1965,1980,"Experimentação, protesto e fusão de estilos","Período de intensa criatividade e experimentação. Festivais de MPB revelam novos talentos. Tropicália mistura rock, baião, samba e vanguarda. Música torna-se veículo de protesto contra ditadura.",Ditadura militar. Censura. Festivais de TV. Exílio de artistas. Contracultura. AI-5.,"{""topicos"": [""Festivais da Record e Globo"", ""Tropicália antropofágica"", ""Canção de protesto"", ""MPB consolidada""], ""compositores_destaque"": [""Caetano Veloso"", ""Gilberto Gil"", ""Chico Buarque"", ""Elis Regina""], ""instrumentos_principais"": [""guitarra elétrica"", ""berimbau"", ""teclados"", ""bateria""]}",,#9b59b6,22,true,2025-12-14 20:49:33.510717+00
68690a8a-47f6-40a7-ad15-c1951e377172,Contemporâneo,1950,2024,"Serialismo integral, música eletrônica, aleatória, minimalista, espectral e pós-moderna. Pluralismo estilístico total","A música contemporânea (1950-2024) é marcada por pluralismo e fragmentação estilística sem precedentes. Múltiplas correntes coexistem: Serialismo integral (Pierre Boulez, Karlheinz Stockhausen) serializa todos os parâmetros musicais - altura, duração, dinâmica, timbre, articulação. Música eletrônica surge em Colônia (Stockhausen) e Paris (Pierre Schaeffer: musique concrète). John Cage introduz indeterminação, acaso e filosofia zen (4'33"": 4 minutos e 33 segundos de silêncio, 1952). Minimalismo americano (Steve Reich, Philip Glass, Terry Riley, La Monte Young) reage ao serialismo complexo com pulso constante, repetição gradual, processos audíveis. Espectralismo francês (Gérard Grisey, Tristan Murail) analisa espectros acústicos via computador e compõe com base em harmônicos. György Ligeti desenvolve micropolifonia (milhares de linhas entrelaçadas) e clusters móveis (Atmosphères). Krzysztof Penderecki explora massas sonoras e glissandi orquestrais (Threnos para as Vítimas de Hiroshima). George Crumb usa notação gráfica e técnicas estendidas. Henryk Górecki e Arvo Pärt criam ""novo misticismo"" ou ""sacro minimalismo"". Pós-modernismo abraça ecletismo, citação irônica e fusão de erudito/popular (John Adams). Tecnologia digital revoluciona composição, notação e performance (Max/MSP, Csound). Globalização traz influências não-ocidentais sistemáticas. Música de concerto se fragmenta em múltiplas correntes coexistentes: complexidade (Brian Ferneyhough), Nova Simplicidade alemã, pós-minimalismo, novo romantismo, música espectral, laptop music, live electronics.","Guerra Fria (1947-1991), descolonização da África e Ásia, movimentos de direitos civis (Martin Luther King), feminismo segunda onda, queda do Muro de Berlim (1989), globalização acelerada, terrorismo (11/09/2001), crise climática. Contracultura dos anos 60 (hippies, Woodstock), revoluções de 1968, feminismo, movimento LGBT, ambientalismo, internet (1990s), smartphones (2007), redes sociais, polarização política. Pop Art (Warhol), minimalismo visual (Donald Judd), arte conceitual (Duchamp), performance art (Marina Abramović), videoarte (Nam June Paik), arte digital e NFTs. Corrida espacial (Sputnik 1957, Apollo 11 na Lua 1969), estrutura do DNA (Watson e Crick 1953), computadores pessoais (1970s-80s), internet, World Wide Web (1991), smartphones, nanotecnologia, CRISPR (edição genética), inteligência artificial, ChatGPT (2022).","{""ritmo"": ""Extrema complexidade rítmica (Ferneyhough: New Complexity) vs. pulso hipnótico constante (minimalismo: Reich); polimetria avançada; tempo como material (Stockhausen: Zeitmaße)"", ""formas"": ""Momento-forma (Stockhausen: momentos autônomos), processo gradual audível (Reich: Music for 18 Musicians), forma aberta/móvel (Cage: performer escolhe ordem), estruturas fractais e algorítmicas, instalações sonoras"", ""timbre"": ""Síntese eletrônica analógica e digital, sampling, técnicas estendidas em todos os instrumentos, live electronics (processamento em tempo real), sons processados digitalmente, espacialização (sons se movendo no espaço)"", ""melodia"": ""Completamente abolida em muitos estilos (serialismo, eletrônica); retorno a melodismo simples no minimalismo e neo-romantismo; microtonalidade (quartos de tom)"", ""textura"": ""Massas sonoras (Ligeti, Penderecki), nuvens de som, clusters, micropolifonia (centenas de linhas), camadas de ostinatos (minimalismo), pontilhismo eletrônico"", ""harmonia"": ""Microtonalidade (divisão da oitava em mais de 12 sons), espectralismo (harmônicos naturais), estatismo harmônico (minimalismo: mudança gradual), neo-tonalidade eclética (pós-modernismo)"", ""inovacoes"": [""Estúdio de música eletrônica de Colônia WDR (1951)"", ""Sintetizador Moog (1964) e modular"", ""IRCAM Paris (1977): pesquisa musical com computador"", ""Max/MSP (software de música interativa)"", ""Notação simbólica digital (Finale 1988, Sibelius 1993)"", ""Sampling digital"", ""Live electronics e laptop music""]}",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Karlheinz_Stockhausen_1994.jpg/800px-Karlheinz_Stockhausen_1994.jpg,#00CED1,8,true,2025-10-09 02:09:20.82561+00
798ce272-a0af-40a3-97c5-11b83fe0addb,Bossa Nova,1958,1970,Revolução suave: samba jazz sofisticado com harmonias impressionistas e batida sincopada no violão,"Bossa Nova (literalmente ""batida nova"" ou ""jeito novo"") nasceu no final dos anos 1950s no Rio de Janeiro (bairros Copacabana, Ipanema), criada principalmente por Tom Jobim (compositor/pianista), Vinicius de Moraes (poeta/letrista) e João Gilberto (violonista/cantor). Características revolucionárias: harmonias sofisticadas (acordes de 9ª, 11ª, 13ª, influência de Debussy e Ravel), batida sincopada característica no violão (polegar marca graves, dedos fazem síncope nos agudos), canto intimista ""de dentro"" (João Gilberto sussurra ao invés de projetar), melodias melancólicas mas leves, letras poéticas sobre mar, sol, amor, saudade. Fusão perfeita de samba tradicional (ritmo), jazz cool (harmonias), impressionismo francês (cores harmônicas). Marco inicial: álbum Chega de Saudade de João Gilberto (1959), com composições de Tom Jobim e Vinicius. Explosão internacional: concerto no Carnegie Hall NY (1962), colaboração com Stan Getz (Getz/Gilberto 1964, com ""Garota de Ipanema"" cantada por Astrud Gilberto tornou-se hit mundial). Outros mestres: Carlos Lyra, Roberto Menescal, Nara Leão, Edu Lobo, Baden Powell (violão virtuosístico), Luiz Bonfá, Sérgio Mendes. Influenciou profundamente jazz (Miles Davis, Stan Getz), pop (Frank Sinatra gravou Jobim), música brasileira subsequente (MPB descende dela). Representa otimismo desenvolvimentista do Brasil pré-64 (governo JK: ""50 anos em 5"", construção de Brasília). Após golpe de 1964, muitos bossa-novistas se engajaram politicamente, evoluindo para MPB. Legado permanente: standards como ""Garota de Ipanema"", ""Desafinado"", ""Águas de Março"", ""Corcovado"" são conhecidos mundialmente.","Brasil de Juscelino Kubitschek (1956-1961: ""50 anos em 5"", otimismo desenvolvimentista), construção de Brasília (Oscar Niemeyer, Lúcio Costa, inauguração 1960), classe média urbana ascendente, Zona Sul carioca (Copacabana, Ipanema), apartamentos modernos, bares e boates, intelectualidade progressista. Arquitetura moderna brasileira (Niemeyer), concretismo nas artes (Lygia Clark, Hélio Oiticica), Cinema Novo nascente, poesia concreta paulista. Gravação em fita magnética, LPs de alta fidelidade, micro fones sensíveis (possibilitam canto intimista), estúdios de gravação profissionais no Rio (Odeon), difusão via rádio e TV (Bossa Nova na TV Record).","{""ritmo"": ""Batida característica no violão (polegar marca baixos 1-e-2-e, dedos fazem síncope agudos), samba suavizado e desacelerado, síncope brasileira refinada, pulsação binária relaxada"", ""formas"": ""Canção AABA de 32 compassos (influência de standards americanos), forma livre (influência de samba), pequenas introduções instrumentais, codas com fade out"", ""timbre"": ""Violão de nylon (som puro, sem amplificação), voz intimista sussurrada (João Gilberto), flauta doce, piano acústico delicado, baixo acústico, bateria com vassouras, berimbau ocasional"", ""melodia"": ""Melódica mas sofisticada, cromatismos, saltos incomuns, fraseado sincopado característico, ambitus moderado (João Gilberto canta suave)"", ""textura"": ""Intimista e camerística, arranjos leves (flauta, violão, baixo, bateria com escovinha, piano), despojamento, sutileza, espaço, respiração"", ""harmonia"": ""Acordes de sétima, nona, décima primeira, décima terceira (influência jazz), substituições harmônicas (diminutas, bII7), modulações frequentes mas suaves, cores impressionistas (Debussy/Ravel)"", ""inovacoes"": [""Batida de violão revolucionária (João Gilberto)"", ""Canto intimista de dentro (voz não projetada)"", ""Fusão perfeita samba-jazz-impressionismo"", ""Harmonias sofisticadas em música popular"", ""Letra poética integrada à música (Vinicius)""]}",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Tom_Jobim_1965.jpg/800px-Tom_Jobim_1965.jpg,#87CEEB,11,true,2025-10-09 02:09:20.82561+00
8c167784-6592-4f6f-bb74-422c863439ec,Período Edo (Japão),1603,1868,"Florescimento do kabuki, shamisen e música popular urbana",O longo período de paz Tokugawa permitiu extraordinário desenvolvimento cultural urbano. O teatro kabuki floresce nas grandes cidades. O shamisen torna-se extremamente popular. Surgem os primeiros estilos de música popular japonesa.,Isolamento do Japão (sakoku). Crescimento urbano de Edo (Tóquio). Florescimento da cultura popular. Paz prolongada sob os Tokugawa.,"{""topicos"": [""Teatro Kabuki"", ""Shamisen e música narrativa"", ""Música popular urbana"", ""Tradições matsuri""], ""compositores_destaque"": [""Yatsuhashi Kengyō"", ""Ikuta Kengyō""], ""instrumentos_principais"": [""shamisen"", ""koto"", ""shakuhachi"", ""taiko""]}",,#e74c3c,15,true,2025-12-14 20:49:33.510717+00
