id,nome_completo,nome_artistico,data_nascimento,data_falecimento,pais_nascimento,cidade_nascimento,periodo_id,biografia_curta,biografia_completa,principais_obras,estilo_musical,instrumentos_tocados,curiosidades,foto_url,audio_assinatura_url,nivel_importancia,tags,ativo,created_at
01826610-9488-44c5-92c3-4edfd0470bee,Georg Friedrich Händel,Handel,1685-02-23,1759-04-14,Alemanha,Halle,d8c30e03-788e-4a90-970c-7585963b3949,"Compositor barroco alemão naturalizado britânico. Mestre dos oratórios, autor de Messias e Music for the Royal Fireworks.","George Frideric Handel foi um compositor barroco alemão que se naturalizou britânico. Nasceu em Halle, Alemanha, em 1685, mesmo ano que Bach e Scarlatti. Mudou-se para Londres onde fez carreira brilhante. Foi o maior compositor de óperas italianas na Inglaterra e revolucionou o gênero do oratório em inglês. Seu Messias é uma das obras corais mais executadas da história. Compôs também música instrumental como Water Music e Music for the Royal Fireworks. Teve vida longa e produtiva, sendo enterrado na Abadia de Westminster com honras de estado.","[""Messias"",""Water Music"",""Music for the Royal Fireworks"",""Zadok the Priest""]",Barroco Inglês,"[""cravo"",""órgão""]","{""fatos"": [{""texto"": ""Nasceu no mesmo ano que Bach (1685), mas teve carreiras muito diferentes. Bach era mais tradicional, Handel mais cosmopolita e internacional."", ""titulo"": ""Rival de Bach""}, {""texto"": ""O coro Hallelujah do Messias é tão famoso que o público britânico se levanta ao ouvi-lo, tradição iniciada pelo rei George II."", ""titulo"": ""Hallelujah!""}]}",,,5,"[""barroco"",""oratório"",""ópera""]",true,2025-12-15 02:37:56.378902+00
102ed8a3-0f8b-4bd4-9bcc-ea6ccbf49c16,Jakob Ludwig Felix Mendelssohn Bartholdy,Mendelssohn,1809-02-03,1847-11-04,Alemanha,Hamburgo,e8ce8fcc-5d20-4557-be06-c908b975e141,Criança prodígio que redescobriu Bach. Compositor de elegância clássica com espírito romântico,"Felix Mendelssohn (1809-1847) foi criança prodígio de família abastada judia convertida ao protestantismo. Aos 9 anos estreou como pianista, aos 17 compôs Sonho de Uma Noite de Verão (abertura). Em 1829, aos 20 anos, regeu a Paixão segundo São Mateus de Bach em Berlim, 100 anos após morte do compositor - evento que iniciou o renascimento bachiano. Foi um dos primeiros maestros profissionais modernos. Fundou Conservatório de Leipzig (1843). Viajou pela Europa (Itália, Escócia, Inglaterra). Compôs 5 sinfonias (Italiana, Escocesa), Concerto para Violino (um dos mais populares), oratório Elias, música de câmara, peças para piano (Canções Sem Palavras). Morreu prematuramente aos 38 anos de derrame cerebral, meses após morte da irmã amada Fanny (também compositora talentosa). Sua música combina elegância clássica com lirismo romântico.","[""Concerto para Violino em Mi menor Op. 64"",""Sonho de Uma Noite de Verão (abertura e música incidental)"",""Sinfonia nº 4 Italiana"",""Sinfonia nº 3 Escocesa"",""Oratório Elias"",""Canções Sem Palavras (48 peças para piano)"",""Octeto para Cordas"",""Hebrides (Gruta de Fingal)"",""Romances Sem Palavras Op. 19 nº 1"",""Variações Sérias Op. 54""]",Romantismo conservador,"[""Piano"",""Violino"",""Viola""]","[{""texto"": ""Regeu Paixão segundo São Mateus em Berlim (1829), 100 anos após morte de Bach. Evento histórico que iniciou renascimento bachiano. Sem Mendelssohn, Bach poderia ter permanecido esquecido."", ""titulo"": ""Redescobriu Bach para o mundo"", ""categoria"": ""legado""}, {""texto"": ""Morreu aos 38 anos de série de derrames cerebrais, meses após morte de sua amada irmã Fanny (também compositora). Deixou 5ª sinfonia inacabada. Morreu na idade exata que Fanny morreu."", ""titulo"": ""Morte prematura aos 38"", ""categoria"": ""tragedia""}]",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Mendelssohn_Bartholdy.jpg/800px-Mendelssohn_Bartholdy.jpg,https://www.youtube.com/watch?v=o1dBg__wsuo,4,"[""romantico"",""alemao"",""virtuose"",""maestro""]",true,2025-10-09 02:50:34.631005+00
242645c7-e035-4868-8fbb-bd67916f7ebe,Béla Viktor János Bartók,Bartók,1881-03-25,1945-09-26,Hungria,Nagyszentmiklós,a8106bcd-4791-46f4-b502-bda5fe19c041,"Etnomusicólogo que coletou milhares de canções folclóricas e as fundiu com modernismo, criando linguagem única","Béla Bartók (1881-1945) foi compositor, pianista e etnomusicólogo pioneiro. Estudou Academia de Música de Budapeste. Com Zoltán Kodály, viajou por vilarejos húngaros, romenos, eslovacos, turcos, árabes (1906-1918), gravando com fonógrafo cilíndrico mais de 10.000 canções folclóricas autênticas (não urbanas, mas camponesas primitivas). Incorporou ritmos, escalas e melodias folclóricas em linguagem modernista: Música para Cordas, Percussão e Celesta (1936), Concerto para Orquestra (1943), 6 Quartetos de Cordas (obras-primas do gênero), Mikrokosmos (153 peças progressivas para piano), 3 concertos para piano, ópera O Castelo do Barba Azul. Técnicas: escalas folclóricas, ritmos irregulares (aksak búlgaro), clusters, politonalidade, batidas percussivas no piano. Fugiu nazismo (1940), exilando-se em Nova York, onde viveu em pobreza. Morreu de leucemia aos 64 anos, pobre e pouco reconhecido. Pós-morte, tornou-se um dos mais influentes do século XX.","[""Concerto para Orquestra"",""Música para Cordas, Percussão e Celesta"",""Quarteto de Cordas nº 4"",""O Castelo do Barba Azul (ópera)"",""Mikrokosmos (153 peças para piano)"",""Concerto para Piano nº 3"",""Allegro Barbaro"",""Danças Romenas"",""Sonata para Dois Pianos e Percussão"",""O Mandarim Maravilhoso (balé)""]",Modernismo nacionalista,"[""Piano""]","[{""texto"": ""Viajou anos por vilarejos remotos com fonógrafo cilíndrico (1906-1918), gravando mais de 10.000 canções folclóricas autênticas camponesas. Trabalho etnomusicológico pioneiro, preservando culturas ameaçadas."", ""titulo"": ""Coletou 10.000 canções folclóricas"", ""categoria"": ""etnomusicologia""}, {""texto"": ""Fugiu nazismo para Nova York (1940) mas viveu últimos 5 anos em pobreza, doente de leucemia. Concerto para Orquestra (1943) foi encomenda emergencial de Koussevitzky para ajudá-lo financeiramente."", ""titulo"": ""Morreu pobre em Nova York"", ""categoria"": ""tragedia""}]",https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Bartok_Bela_1927.jpg/800px-Bartok_Bela_1927.jpg,https://www.youtube.com/watch?v=yWwjlbB0Cdo,4,"[""modernismo"",""hungaro"",""folclorico"",""etnomusicologo""]",true,2025-10-09 02:50:34.631005+00
26f0c4d7-e0f6-4ba3-a360-574ddf65d2e6,Johann Pachelbel,Pachelbel,1653-09-01,1706-03-09,Alemanha,Nuremberg,d8c30e03-788e-4a90-970c-7585963b3949,Compositor e organista alemão do período Barroco. Conhecido principalmente por seu famoso Canon em Ré maior.,"Johann Pachelbel foi um compositor e organista alemão do período Barroco. Nasceu em Nuremberg em 1653. Foi um dos compositores mais importantes de sua época, especialmente famoso por suas obras para órgão e música de câmara. Seu Canon em Ré maior é uma das peças mais conhecidas da música clássica, embora tenha sido redescoberta apenas no século XX. Trabalhou em várias cidades alemãs e foi professor de Johann Christoph Bach, irmão mais velho de J.S. Bach. Sua música influenciou profundamente o desenvolvimento da fuga e do coral luterano.","[""Canon em Ré maior"",""Hexachordum Apollinis"",""Chaconne em Fá menor""]",Barroco Alemão,"[""órgão"",""cravo""]","{""fatos"": [{""texto"": ""O Canon em Ré maior só se tornou popular 200 anos após sua morte, sendo redescoberto no século XX."", ""titulo"": ""Sucesso Póstumo""}, {""texto"": ""Foi professor do irmão mais velho de J.S. Bach e influenciou muito o estilo do grande compositor."", ""titulo"": ""Influência em Bach""}]}",,,4,"[""barroco"",""órgão"",""canon""]",true,2025-12-15 02:37:56.378902+00
280b11e5-12eb-4b8e-9099-d4dff10fcc18,Milton Silva Campos do Nascimento,Milton Nascimento,1942-10-26,,Brasil,,f2f37801-7669-4d4b-9bb9-2e79589d410e,"Voz inconfundível, considerada uma das maiores do mundo. Suas harmonias sofisticadas e melodias emocionantes transcendem gêneros. Clube da Esquina renovou a MPB. Admirado por músicos de jazz mundialmente.","Milton Nascimento possui uma das vozes mais extraordinárias da história da música. Nascido no Rio de Janeiro, criado em Três Pontas, Minas Gerais, sua voz tem alcance e timbre únicos. Venceu o II Festival Internacional da Canção com ""Travessia"" (1967). Líder do movimento Clube da Esquina, ao lado de Lô Borges, Fernando Brant e Toninho Horta, criou um som que mescla MPB, jazz, rock, música erudita e raízes mineiras. Álbuns como ""Clube da Esquina"" (1972) e ""Minas"" (1975) são obras-primas absolutas. Suas harmonias sofisticadas influenciaram jazz musicians como Wayne Shorter e Herbie Hancock. ""Maria Maria"" e ""Ponta de Areia"" são hinos brasileiros.","[""Travessia"",""Clube da Esquina"",""Maria Maria"",""Ponta de Areia"",""Encontros e Despedidas""]","MPB, Jazz brasileiro, Clube da Esquina",,"[{""texto"": ""Sua voz tem alcance de três oitavas e um timbre impossível de classificar. Wayne Shorter disse que a voz de Milton é um dos sons mais bonitos que já ouviu."", ""titulo"": ""Voz única""}, {""texto"": ""O movimento Clube da Esquina (nome de uma esquina em Belo Horizonte onde os músicos se reuniam) criou uma fusão única de MPB, jazz, rock e música mineira."", ""titulo"": ""Clube da Esquina""}]",,,5,,true,2025-12-14 20:49:33.510717+00
2c66f118-3e49-479f-99b8-e7fde3340932,Frédéric François Chopin,Chopin,1810-03-01,1849-10-17,Polônia,Żelazowa Wola,e8ce8fcc-5d20-4557-be06-c908b975e141,"Poeta do piano, criou novas formas de expressão pianística. Mestre da miniatura musical e do lirismo polonês","Frédéric Chopin (1810-1849) é o poeta do piano romântico. Nasceu na Polônia, filho de pai francês e mãe polonesa. Estudou no Conservatório de Varsóvia. Em 1830, deixou a Polônia pouco antes da Revolta de Novembro contra a Rússia, nunca mais retornando. Estabeleceu-se em Paris (1831), onde se tornou sensação nos salões aristocráticos. Ao contrário dos virtuoses showmen como Liszt, Chopin preferia a intimidade dos salões, detestando grandes concertos públicos. Compôs quase exclusivamente para piano solo (exceto 2 concertos para piano, sonata para violoncelo, algumas canções). Criou ou aperfeiçoou formas: balada (narrativa musical), scherzo pianístico, noturno poético, estudo de concerto (técnica + arte), prelúdio moderno, valsa de concerto. Incorporou elementos folclóricos poloneses (mazurca, polonaise) elevados a arte erudita. Relacionamento famoso com a escritora George Sand (1838-1847). Sofria de tuberculose desde jovem, falecendo aos 39 anos em Paris. Seu coração foi levado para Varsóvia conforme seu desejo.","[""Balada nº 1 em Sol menor Op. 23"",""24 Prelúdios Op. 28"",""Noturno em Mi bemol maior Op. 9 nº 2"",""Estudo Revolucionário em Dó menor Op. 10 nº 12"",""Polonaise Heroica em Lá bemol maior Op. 53"",""Scherzo nº 2 em Si bemol menor Op. 31"",""Concerto para Piano nº 1 em Mi menor Op. 11"",""Valsa do Minuto Op. 64 nº 1"",""Sonata nº 2 em Si bemol menor Op. 35 (Marcha Fúnebre)"",""Fantasia-Improviso em Dó sustenido menor Op. 66"",""Barcarola em Fá sustenido maior Op. 60""]",Romantismo pianístico,"[""Piano""]","[{""texto"": ""Pediu que após sua morte seu coração fosse levado de volta para a Polônia. Ele foi preservado em conhaque e contrabandeado para Varsóvia, onde repousa num pilar da Igreja da Santa Cruz. Seu corpo está em Paris."", ""titulo"": ""Coração em Varsóvia, corpo em Paris"", ""categoria"": ""morte""}, {""texto"": ""Teve relacionamento de 9 anos (1838-1847) com a escritora George Sand (pseudônimo de Amantine Dupin). Ela cuidou dele em Mallorca durante inverno difícil (1838-39) onde compôs os Prelúdios."", ""titulo"": ""Romance com George Sand"", ""categoria"": ""vida_pessoal""}, {""texto"": ""Ao contrário de Liszt, Chopin detestava tocar em grandes salas. Deu apenas cerca de 30 concertos públicos em toda vida, preferindo a intimidade dos salões aristocráticos parisienses onde tinha audiências de no máximo 300 pessoas."", ""titulo"": ""Detestava concertos públicos"", ""categoria"": ""personalidade""}, {""texto"": ""Deixou a Polônia em 1830, pouco antes da Revolta de Novembro. Nunca voltou, mas toda sua música é impregnada de nostalgia polonesa. O Estudo Op. 10 nº 12 é chamado Revolucionário."", ""titulo"": ""Revolucionário sem revolução"", ""categoria"": ""nacionalismo""}]",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Frederic_Chopin_photo.jpeg/800px-Frederic_Chopin_photo.jpeg,https://www.youtube.com/watch?v=9E6b3swbnWg,5,"[""romantico"",""piano"",""polonia"",""nocturno"",""balada"",""poeta""]",true,2025-10-09 02:04:40.115836+00
2d6c26aa-002e-4fe4-a5be-5f1da2ceaad8,Marcus Vinicius da Cruz e Mello Moraes,Vinicius de Moraes,1913-10-19,1980-07-09,Brasil,,798ce272-a0af-40a3-97c5-11b83fe0addb,Poeta e compositor. Parceiro de Tom Jobim na criação da bossa nova. Diplomata que escolheu a música. Suas letras elevam a canção popular brasileira à poesia maior.,"Vinicius de Moraes foi poeta, dramaturgo, diplomata e compositor. Conhecido como ""o poetinha"", suas letras transformaram a canção popular brasileira em alta poesia. Diplomata de carreira, serviu em Los Angeles, Paris e Montevidéu, mas a música sempre foi sua paixão. Parceiro de Tom Jobim, Baden Powell, Toquinho e muitos outros, escreveu algumas das mais belas letras da música brasileira. ""Garota de Ipanema"", ""Chega de Saudade"", ""Aquarela do Brasil"" - todas com letras que são poemas. Casou-se nove vezes e dizia: ""Sou essencialmente um homem de amor"". Sua obra poético-musical é patrimônio da língua portuguesa.","[""Garota de Ipanema"",""Chega de Saudade"",""Eu Sei Que Vou Te Amar"",""Aquarela do Brasil""]","Bossa Nova, MPB, Samba-canção",,"[{""texto"": ""Foi diplomata brasileiro servindo em vários países, mas pediu demissão em 1968 para se dedicar à música. O Itamaraty considerava suas atividades boêmias \""incompatíveis\"" com a carreira diplomática."", ""titulo"": ""Diplomata poeta""}, {""texto"": ""Casou-se nove vezes e dizia que era \""essencialmente um homem de amor\"". Suas canções românticas refletem essa paixão intensa pela vida e pelo amor."", ""titulo"": ""Nove casamentos""}]",,,5,,true,2025-12-14 20:49:33.510717+00
2d850638-b14d-4fb8-b987-d85c7892ea62,Francisco Buarque de Hollanda,Chico Buarque,1944-06-19,,Brasil,,480e5257-9aca-48e8-971f-f19794fc0dcf,"Compositor, escritor e dramaturgo. Mestre da palavra na canção. Suas músicas denunciaram a ditadura com sofisticação poética. Vencedor de múltiplos festivais. Um dos maiores letristas da língua portuguesa.","Chico Buarque é um dos maiores artistas brasileiros vivos. Filho do historiador Sérgio Buarque de Hollanda, desde jovem mostrou talento extraordinário para a palavra. Venceu festivais nos anos 1960 com ""A Banda"" e ""Roda Viva"". Durante a ditadura militar, suas letras inteligentes e metafóricas driblavam a censura enquanto denunciavam o regime - ""Apesar de Você"", ""Cálice"". Criou heterônimos como Julinho da Adelaide para burlar censores. Além de compositor, é romancista premiado (""Budapeste"", ""Leite Derramado""). Suas letras têm qualidade literária rara, trabalhando com trocadilhos, metáforas e estruturas poéticas complexas como em ""Construção"".","[""Construção"",""Apesar de Você"",""Cálice"",""Gota d'Água"",""O Que Será""]","MPB, Samba, Canção de protesto",,"[{""texto"": ""Em \""Construção\"", todas as palavras terminam em proparoxítonas, criando efeito poético único. A letra genial narra a morte de um operário, denunciando condições de trabalho desumanas."", ""titulo"": ""Construção""}, {""texto"": ""Criou o heterônimo Julinho da Adelaide para burlar a censura da ditadura. Músicas censuradas eram \""liberadas\"" quando atribuídas ao jovem compositor desconhecido."", ""titulo"": ""Julinho da Adelaide""}]",,,5,,true,2025-12-14 20:49:33.510717+00
2ef6c728-858b-41cf-bb9d-e844783a0969,Achille-Claude Debussy,Debussy,1862-08-22,1918-03-25,França,Saint-Germain-en-Laye,fec1fe65-dfd0-4797-bd51-693f3a612214,Revolucionou a harmonia e o timbre. Criador do Impressionismo musical com cores sonoras etéreas e ambiguidade tonal,"Claude Debussy (1862-1918) é o pai do Impressionismo musical e um dos compositores mais revolucionários. Estudou no Conservatório de Paris (1872-1884), ganhando Prix de Rome (1884). Rompeu com tradição romântica alemã, criando linguagem radicalmente nova. Influências: gamelão javanês (Exposição Universal de Paris 1889), simbolismo literário (Mallarmé, Verlaine), pintura impressionista (Monet). Características: acordes paralelos (quintas, nonas), escalas de tons inteiros, modos antigos, pentatônica, politonalidade incipiente, orquestração refinadíssima (timbres puros, cores). Obras principais: Prélude à l'après-midi d'un faune (1894, baseado em Mallarmé), La Mer (1905, 3 esboços sinfônicos do mar), ópera Pelléas et Mélisande (1902, texto de Maeterlinck), 24 Préludes para piano (1910-1913: Des pas sur la neige, Feux d'artifice), Estampes, Images. Escrita pianística explora pedais, ressonâncias, registros etéreos. Vida pessoal turbulenta: 2 casamentos, amante Emma Bardac. Nacionalista durante 1ª Guerra Mundial, assinou obras ""Claude Debussy, musicien français"". Morreu de câncer retal aos 55 anos, durante bombardeio alemão de Paris (1918). Influenciou profundamente música do século XX: Ravel, Messiaen, Boulez, jazz (Bill Evans).","[""Prélude à l'après-midi d'un faune (Prelúdio à Tarde de um Fauno)"",""La Mer (3 esboços sinfônicos)"",""Clair de lune (do Suite Bergamasque)"",""Pelléas et Mélisande (ópera)"",""24 Préludes para piano"",""Images para piano"",""Estampes"",""Quarteto de Cordas em Sol menor"",""La Cathédrale engloutie (Prelúdio)"",""Jeux (balé)""]",Impressionismo,"[""Piano""]","[{""texto"": ""Ficou fascinado pelo gamelão javanês (orquestra de gongos e metalofones) na Exposição Universal de Paris (1889). Incorporou escalas pentatônicas e sonoridades exóticas em sua música, revolucionando a harmonia ocidental."", ""titulo"": ""Gamelão javanês na Exposição"", ""categoria"": ""influencia""}, {""texto"": ""Ironicamente, Debussy detestava o rótulo impressionista aplicado à sua música. Preferia simbolista. Mas o termo pegou pela analogia com Monet, Renoir e a atmosfera nebulosa de suas obras."", ""titulo"": ""Detestava ser chamado de impressionista"", ""categoria"": ""curiosidade""}, {""texto"": ""Morreu em Paris em 1918, durante bombardeio alemão (Bertha) na 1ª Guerra Mundial, de câncer retal. Seu funeral foi apressado devido aos bombardeios constantes. Tinha apenas 55 anos."", ""titulo"": ""Morte durante bombardeio"", ""categoria"": ""morte""}]",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Claude_Debussy_ca_1908%2C_foto_av_F%C3%A9lix_Nadar.jpg/800px-Claude_Debussy_ca_1908%2C_foto_av_F%C3%A9lix_Nadar.jpg,https://www.youtube.com/watch?v=9_7loz-HWUM,5,"[""impressionismo"",""frances"",""piano"",""inovacao"",""harmonia""]",true,2025-10-09 02:15:02.70535+00
37681c66-7ef1-4634-b268-fbc1be69e4c5,Ludwig van Beethoven,Beethoven,1770-12-17,1827-03-26,Alemanha,Bonn,f8ed8ab3-ef44-47e5-8a3f-80b4dd60f89a,Revolucionou a música sinfônica e continuou compondo obras-primas mesmo surdo. Ponte entre Classicismo e Romantismo,"Ludwig van Beethoven nasceu em Bonn em 1770. Seu pai, tenor na corte, deu-lhe educação musical rigorosa e às vezes brutal, sonhando criar um novo Mozart. Em 1792, mudou-se para Viena para estudar com Haydn. Beethoven revolucionou a música, expandindo dramaticamente a forma sonata, a sinfonia e o concerto. Sua obra divide-se em três períodos: inicial influência de Haydn e Mozart, médio obras heroicas como a 5ª Sinfonia e tardio quartetos de cordas transcendentais. A tragédia de sua vida foi a surdez progressiva, diagnosticada aos 26 anos. Em 1802, escreveu o Testamento de Heiligenstadt contemplando o suicídio. Mas decidiu viver pela arte. Surpreendentemente, suas obras mais profundas - 9ª Sinfonia, Missa Solemnis, últimos quartetos - foram compostas quando completamente surdo. Beethoven foi o primeiro compositor verdadeiramente independente, não servindo a nenhuma corte. Morreu em 1827 durante uma tempestade, e 20000 pessoas compareceram ao seu funeral.","[""Sinfonia nº 9 em Ré menor Op. 125 (com Ode à Alegria)"",""Sinfonia nº 5 em Dó menor Op. 67"",""Sinfonia nº 6 Pastoral em Fá maior Op. 68"",""Sinfonia nº 3 Eroica em Mi bemol maior Op. 55"",""Sonata para Piano nº 14 Ao Luar Op. 27 nº 2"",""Sonata para Piano nº 23 Appassionata Op. 57"",""Concerto para Piano nº 5 Imperador Op. 73"",""Concerto para Violino em Ré maior Op. 61"",""Missa Solemnis Op. 123"",""Ópera Fidelio Op. 72"",""Grande Fuga Op. 133""]",Classicismo/Romantismo (transição),"[""Piano"",""Violino"",""Viola"",""Órgão""]","[{""texto"": ""Beethoven começou a perder a audição aos 26 anos. Aos 44, era completamente surdo, mas compôs suas maiores obras neste período. Para ouvir cortava as pernas do piano e encostava a cabeça no chão para sentir as vibrações."", ""titulo"": ""Compositor Surdo"", ""imagem_url"": null}, {""texto"": ""A 9ª Sinfonia 1824 quebrou todas as convenções: 70 minutos de duração, 4 solistas vocais e coro inédito em sinfonia, e o Hino à Alegria de Schiller. Na estreia, Beethoven regia surdo enquanto o maestro real conduzia atrás dele."", ""titulo"": ""A 9ª Sinfonia Revolucionária"", ""imagem_url"": null}, {""texto"": ""Em 1802, desesperado com a surdez progressiva, Beethoven escreveu uma carta aos irmãos considerando o suicídio. Mas decidiu: A arte me reteve. Parecia impossível deixar o mundo antes de ter produzido tudo o que sentia que devia produzir."", ""titulo"": ""Testamento de Heiligenstadt"", ""imagem_url"": null}, {""texto"": ""Seu funeral em 1827 foi uma das maiores manifestações públicas já vistas em Viena. 20000 pessoas compareceram. Franz Schubert foi um dos portadores da tocha. Escolas fecharam em sua honra."", ""titulo"": ""Funeral Épico"", ""imagem_url"": null}]",https://upload.wikimedia.org/wikipedia/commons/6/6f/Beethoven.jpg,https://open.spotify.com/track/2Jt34NjVHGLfRCG8KjeUK5,5,"[""classico"",""romantico"",""sinfonia"",""surdo"",""heroico"",""revolucionario""]",true,2025-10-09 02:04:40.115836+00
